Sensor,Location,Value1,Value2,Value3,Reading_Time
Sensor,My Room,24.10,79.00,1,2023-01-28 23:46:48
Sensor,My Room,24.10,79.00,1,2023-01-28 23:46:54
Sensor,My Room,24.10,79.00,1,2023-01-28 23:47:00
Sensor,My Room,24.10,79.00,1,2023-01-28 23:47:07
Sensor,My Room,24.10,79.00,1,2023-01-28 23:47:15
Sensor,My Room,24.10,79.00,1,2023-01-28 23:47:22
Sensor,My Room,24.10,79.00,1,2023-01-28 23:47:28
Sensor,My Room,24.10,79.00,1,2023-01-28 23:47:34
Sensor,My Room,24.10,79.00,1,2023-01-28 23:47:42
Sensor,My Room,24.10,79.00,1,2023-01-28 23:47:50
Sensor,My Room,24.10,79.00,1,2023-01-28 23:47:57
Sensor,My Room,24.10,79.00,1,2023-01-28 23:48:03
Sensor,My Room,24.10,79.00,1,2023-01-28 23:48:12
Sensor,My Room,24.10,79.00,1,2023-01-28 23:48:19
Sensor,My Room,24.10,79.00,1,2023-01-28 23:48:27
Sensor,My Room,24.10,79.00,1,2023-01-28 23:48:34
Sensor,My Room,24.10,79.00,1,2023-01-28 23:48:40
Sensor,My Room,24.10,79.00,1,2023-01-28 23:48:46
Sensor,My Room,24.10,79.00,1,2023-01-28 23:48:52
Sensor,My Room,24.10,79.00,1,2023-01-28 23:48:59
Sensor,My Room,24.10,79.00,1,2023-01-28 23:49:05
Sensor,My Room,24.10,79.00,1,2023-01-28 23:56:07
Sensor,My Room,24.10,79.00,1,2023-01-28 23:56:14
Sensor,My Room,24.10,80.00,1,2023-01-28 23:56:20
Sensor,My Room,24.10,80.00,1,2023-01-28 23:56:26
Sensor,My Room,24.10,80.00,1,2023-01-28 23:56:33
Sensor,My Room,24.10,80.00,1,2023-01-28 23:57:09
Sensor,My Room,24.10,80.00,1,2023-01-28 23:57:16
Sensor,My Room,24.10,80.00,1,2023-01-28 23:57:22
Sensor,My Room,24.10,80.00,1,2023-01-28 23:57:28
Sensor,My Room,24.10,80.00,1,2023-01-28 23:57:34
Sensor,My Room,24.10,80.00,1,2023-01-28 23:57:40
Sensor,My Room,24.10,80.00,1,2023-01-28 23:57:47
Sensor,My Room,24.10,80.00,1,2023-01-28 23:57:53
Sensor,My Room,24.10,80.00,1,2023-01-28 23:57:59
Sensor,My Room,24.10,80.00,1,2023-01-28 23:58:05
Sensor,My Room,24.10,80.00,1,2023-01-28 23:58:11
Sensor,My Room,24.10,80.00,1,2023-01-28 23:58:18
